Day,Avg_Humidity,Avg_Temperature
1,93.0,20.5
2,75.0,22.0
3,69.0,22.8
4,88.0,21.4
5,85.0,23.7
6,77.0,24.3
7,70.0,21.8
8,70.0,23.7
9,64.0,21.3
10,62.0,20.2
11,91.0,17.6
12,87.0,19.9
13,84.0,21.4
14,76.0,18.9
15,89.0,17.5
16,96.0,18.1
17,80.0,19.8
18,81.0,21.0
19,75.0,20.1
20,90.0,17.2
21,66.0,15.6
22,87.0,12.3
23,71.0,14.3
24,76.0,13.6
25,97.0,12.8
26,100.0,15.1
27,75.0,18.0
28,48.0,16.5
29,51.0,14.0
30,63.0,14.3
31,79.0,14.5
