Day,Avg_Humidity,Avg_Temperature
1,81.0,23.3
2,77.0,26.5
3,87.0,23.1
4,87.0,25.9
5,94.0,21.3
6,93.0,21.3
7,83.0,25.0
8,97.0,18.8
9,93.0,16.0
10,75.0,17.8
11,69.0,19.0
12,73.0,20.6
13,70.0,20.9
14,71.0,20.8
15,72.0,22.1
16,76.0,22.6
17,79.0,22.8
18,92.0,21.6
19,84.0,24.2
20,55.0,17.4
21,61.0,16.2
22,69.0,19.7
23,90.0,21.9
24,79.0,22.6
25,77.0,20.2
26,80.0,19.0
27,87.0,19.7
28,87.0,18.8
29,79.0,15.4
30,79.0,16.8
31,65.0,16.2
